"","id","firstname","surname","bornCountryCode","diedCountryCode","gender","year","category","motivation"
"303",221,"Lord (Alexander R.)","Todd","GB","GB","male",1957,"chemistry","""for his work on nucleotides and nucleotide co-enzymes"""
"304",200,"Leopold","Ruzicka","HR","CH","male",1939,"chemistry","""for his work on polymethylenes and higher terpenes"""
"305",241,"Christian B.","Anfinsen","US","US","male",1972,"chemistry","""for his work on ribonuclease, especially concerning the connection between the amino acid sequence and the biologically active conformation"""
"306",293,"Emil Adolf","von Behring","PL","DE","male",1901,"medicine","""for his work on serum therapy, especially its application against diphtheria, by which he has opened a new road in the domain of medical science and thereby placed in the hands of the physician a victorious weapon against illness and deaths"""
"307",199,"Adolf Friedrich Johann","Butenandt","DE","DE","male",1939,"chemistry","""for his work on sex hormones"""
"308",305,"Allvar","Gullstrand","SE","SE","male",1911,"medicine","""for his work on the dioptrics of the eye"""
"309",32,"Jean Baptiste","Perrin","FR","US","male",1926,"physics","""for his work on the discontinuous structure of matter, and especially for his discovery of sedimentation equilibrium"""
"310",28,"Robert Andrews","Millikan","US","US","male",1923,"physics","""for his work on the elementary charge of electricity and on the photoelectric effect"""
"311",15,"Johannes Diderik","van der Waals","NL","NL","male",1910,"physics","""for his work on the equation of state for gases and liquids"""
"312",260,"Henry","Taube","CA","US","male",1983,"chemistry","""for his work on the mechanisms of electron transfer reactions, especially in metal complexes"""
"313",308,"Robert","Bàràny","AT","SE","male",1914,"medicine","""for his work on the physiology and pathology of the vestibular apparatus"""
"314",303,"Emil Theodor","Kocher","CH","CH","male",1909,"medicine","""for his work on the physiology, pathology and surgery of the thyroid gland"""
"315",37,"Sir Chandrasekhara Venkata","Raman","IN","IN","male",1930,"physics","""for his work on the scattering of light and for the discovery of the effect named after him"""
"316",247,"John Warcup","Cornforth","AU","","male",1975,"chemistry","""for his work on the stereochemistry of enzyme-catalyzed reactions"""
"317",222,"Frederick","Sanger","GB","GB","male",1958,"chemistry","""for his work on the structure of proteins, especially that of insulin"""
"318",35,"Owen Willans","Richardson","GB","GB","male",1928,"physics","""for his work on the thermionic phenomenon and especially for the discovery of the law named after him"""
"319",201,"George","de Hevesy","HU","DE","male",1943,"chemistry","""for his work on the use of isotopes as tracers in the study of chemical processes"""
"320",318,"Charles Jules Henri","Nicolle","FR","TN","male",1928,"medicine","""for his work on typhus"""
"321",596,"George Bernard","Shaw","IE","GB","male",1925,"literature","""for his work which is marked by both idealism and humanity, its stimulating satire often being infused with a singular poetic beauty"""
"322",637,"Jean-Paul","Sartre","FR","FR","male",1964,"literature","""for his work which, rich in ideas and filled with the spirit of freedom and the quest for truth, has exerted a far-reaching influence on our age"""
"323",647,"Heinrich","B_ll","DE","DE","male",1972,"literature","""for his writing which through its combination of a broad perspective on his time and a sensitive skill in characterization has contributed to a renewal of German literature"""
"324",643,"Samuel","Beckett","IE","FR","male",1969,"literature","""for his writing, which - in new forms for the novel and drama - in the destitution of modern man acquires its elevation"""
"325",667,"Octavio","Paz","MX","MX","male",1990,"literature","""for impassioned writing with wide horizons, characterized by sensuous intelligence and humanistic integrity"""
"326",923,"Aziz","Sancar","TR","","male",2015,"chemistry","""for mechanistic studies of DNA repair"""
"327",922,"Paul","Modrich","US","","male",2015,"chemistry","""for mechanistic studies of DNA repair"""
"328",921,"Tomas","Lindahl","SE","","male",2015,"chemistry","""for mechanistic studies of DNA repair"""
"329",772,"Clive W.J.","Granger","GB","US","male",2003,"economics","""for methods of analyzing economic time series with common trends (cointegration)"""
"330",771,"Robert F.","Engle III","US","","male",2003,"economics","""for methods of analyzing economic time series with time-varying volatility (ARCH)"""
"331",853,"Akira","Suzuki","JP","","male",2010,"chemistry","""for palladium-catalyzed cross couplings in organic synthesis"""
"332",852,"Ei-ichi","Negishi","CN","","male",2010,"chemistry","""for palladium-catalyzed cross couplings in organic synthesis"""
"333",851,"Richard F.","Heck","US","","male",2010,"chemistry","""for palladium-catalyzed cross couplings in organic synthesis"""
"334",753,"Raymond","Davis Jr.","US","US","male",2002,"physics","""for pioneering contributions to astrophysics, in particular for the detection of cosmic neutrinos"""
"335",754,"Masatoshi","Koshiba","JP","","male",2002,"physics","""for pioneering contributions to astrophysics, in particular for the detection of cosmic neutrinos"""
"336",755,"Riccardo","Giacconi","IT","","male",2002,"physics","""for pioneering contributions to astrophysics, which have led to the discovery of cosmic X-ray sources"""
"337",766,"Alexei A.","Abrikosov","RU","","male",2003,"physics","""for pioneering contributions to the theory of superconductors and superfluids"""
"338",767,"Vitaly L.","Ginzburg","RU","","male",2003,"physics","""for pioneering contributions to the theory of superconductors and superfluids"""
"339",768,"Anthony J.","Leggett","GB","","male",2003,"physics","""for pioneering contributions to the theory of superconductors and superfluids"""
"340",770,"Roderick","MacKinnon","US","","male",2003,"chemistry","""for structural and mechanistic studies of ion channels"""
"341",878,"Robert J.","Lefkowitz","US","","male",2012,"chemistry","""for studies of G-protein-coupled receptors"""
"342",879,"Brian K.","Kobilka","US","","male",2012,"chemistry","""for studies of G-protein-coupled receptors"""
"343",841,"Venkatraman","Ramakrishnan","IN","","male",2009,"chemistry","""for studies of the structure and function of the ribosome"""
"344",842,"Thomas A.","Steitz","US","","male",2009,"chemistry","""for studies of the structure and function of the ribosome"""
"345",740,"Carl E.","Wieman","US","","male",2001,"physics","""for the achievement of Bose-Einstein condensation in dilute gases of alkali atoms, and for early fundamental studies of the properties of the condensates"""
"346",738,"Eric A.","Cornell","US","","male",2001,"physics","""for the achievement of Bose-Einstein condensation in dilute gases of alkali atoms, and for early fundamental studies of the properties of the condensates"""
"347",739,"Wolfgang","Ketterle","DE","","male",2001,"physics","""for the achievement of Bose-Einstein condensation in dilute gases of alkali atoms, and for early fundamental studies of the properties of the condensates"""
"348",912,"Patrick","Modiano","FR","","male",2014,"literature","""for the art of memory with which he has evoked the most ungraspable human destinies and uncovered the life-world of the occupation"""""""
"349",638,"Mikhail Aleksandrovich","Sholokhov","RU","RU","male",1965,"literature","""for the artistic power and integrity with which, in his epic of the Don, he has given expression to a historic phase in the life of the Russian people"""
"350",609,"Roger","Martin du Gard","FR","FR","male",1937,"literature","""for the artistic power and truth with which he has depicted human conflict as well as some fundamental aspects of contemporary life in his novel-cycle <I>Les Thibault</I>"""
"351",622,"P_r Fabian","Lagerkvist","SE","SE","male",1951,"literature","""for the artistic vigour and true independence of mind with which he endeavours in his poetry to find answers to the eternal questions confronting mankind"""
"352",62,"Walther","Bothe","DE","DE","male",1954,"physics","""for the coincidence method and his discoveries made therewith"""
"353",694,"Lawrence R.","Klein","US","US","male",1980,"economics","""for the creation of econometric models and the application to the analysis of economic fluctuations and economic policies"""
"354",38,"Werner Karl","Heisenberg","DE","DE","male",1932,"physics","""for the creation of quantum mechanics, the application of which has, inter alia, led to the discovery of the allotropic forms of hydrogen"""
"355",623,"François","Mauriac","FR","FR","male",1952,"literature","""for the deep spiritual insight and the artistic intensity with which he has in his novels penetrated the drama of human life"""
"356",932,"Sir J. Fraser","Stoddart","GB","","male",2016,"chemistry","""for the design and synthesis of molecular machines"""
"357",933,"Bernard L.","Feringa","NL","","male",2016,"chemistry","""for the design and synthesis of molecular machines"""
"358",931,"Jean-Pierre","Sauvage","FR","","male",2016,"chemistry","""for the design and synthesis of molecular machines"""
"359",148,"Frederick","Reines","US","US","male",1995,"physics","""for the detection of the neutrino"""
"360",270,"Johann","Deisenhofer","DE","","male",1988,"chemistry","""for the determination of the three-dimensional structure of a photosynthetic reaction centre"""
"361",272,"Hartmut","Michel","DE","","male",1988,"chemistry","""for the determination of the three-dimensional structure of a photosynthetic reaction centre"""
"362",271,"Robert","Huber","DE","","male",1988,"chemistry","""for the determination of the three-dimensional structure of a photosynthetic reaction centre"""
"363",418,"Godfrey N.","Hounsfield","GB","GB","male",1979,"medicine","""for the development of computer assisted tomography"""
"364",417,"Allan M.","Cormack","ZA","US","male",1979,"medicine","""for the development of computer assisted tomography"""
"365",848,"Robert G.","Edwards","GB","GB","male",2010,"medicine","""for the development of in vitro fertilization"""
"366",889,"Martin","Karplus","AT","","male",2013,"chemistry","""for the development of multiscale models for complex chemical systems"""
"367",891,"Arieh","Warshel","IL","","male",2013,"chemistry","""for the development of multiscale models for complex chemical systems"""
"368",890,"Michael","Levitt","ZA","","male",2013,"chemistry","""for the development of multiscale models for complex chemical systems"""
"369",145,"Bertram N.","Brockhouse","CA","CA","male",1994,"physics","""for the development of neutron spectroscopy"""
"370",909,"Eric","Betzig","US","","male",2014,"chemistry","""for the development of super-resolved fluorescence microscopy"""
"371",910,"Stefan W.","Hell","RO","","male",2014,"chemistry","""for the development of super-resolved fluorescence microscopy"""
"372",911,"William E.","Moerner","US","","male",2014,"chemistry","""for the development of super-resolved fluorescence microscopy"""
"373",683,"Wassily","Leontief","RU","US","male",1973,"economics","""for the development of the input-output method and for its application to important economic problems"""
"374",137,"Wolfgang","Paul","DE","DE","male",1989,"physics","""for the development of the ion trap technique"""
"375",136,"Hans G.","Dehmelt","DE","","male",1989,"physics","""for the development of the ion trap technique"""
"376",796,"Richard R.","Schrock","US","","male",2005,"chemistry","""for the development of the metathesis method in organic synthesis"""
"377",795,"Robert H.","Grubbs","US","","male",2005,"chemistry","""for the development of the metathesis method in organic synthesis"""
"378",794,"Yves","Chauvin","BE","FR","male",2005,"chemistry","""for the development of the metathesis method in organic synthesis"""
"379",146,"Clifford G.","Shull","US","US","male",1994,"physics","""for the development of the neutron diffraction technique"""
"380",730,"Alan G.","MacDiarmid","NZ","US","male",2000,"chemistry","""for the discovery and development of conductive polymers"""
"381",729,"Alan J.","Heeger","US","","male",2000,"chemistry","""for the discovery and development of conductive polymers"""
"382",731,"Hideki","Shirakawa","JP","","male",2000,"chemistry","""for the discovery and development of conductive polymers"""
"383",87,"Alfred","Kastler","FR","FR","male",1966,"physics","""for the discovery and development of optical methods for studying Hertzian resonances in atoms"""
"384",829,"Osamu","Shimomura","JP","","male",2008,"chemistry","""for the discovery and development of the green fluorescent protein, GFP"""
"385",830,"Martin","Chalfie","US","","male",2008,"chemistry","""for the discovery and development of the green fluorescent protein, GFP"""
"386",831,"Roger Y.","Tsien","US","US","male",2008,"chemistry","""for the discovery and development of the green fluorescent protein, GFP"""
"387",70,"Pavel Alekseyevich","Cherenkov","RU","RU","male",1958,"physics","""for the discovery and the interpretation of the Cherenkov effect"""
"388",721,"IlÇja Mikhailovich","Frank","RU","RU","male",1958,"physics","""for the discovery and the interpretation of the Cherenkov effect"""
"389",71,"Igor Yevgenyevich","Tamm","RU","RU","male",1958,"physics","""for the discovery and the interpretation of the Cherenkov effect"""
"390",144,"Joseph H.","Taylor Jr.","US","","male",1993,"physics","""for the discovery of a new type of pulsar, a discovery that has opened up new possibilities for the study of gravitation"""
"391",143,"Russell A.","Hulse","US","","male",1993,"physics","""for the discovery of a new type of pulsar, a discovery that has opened up new possibilities for the study of gravitation"""
"392",778,"Frank","Wilczek","US","","male",2004,"physics","""for the discovery of asymptotic freedom in the theory of the strong interaction"""
"393",777,"H. David","Politzer","US","","male",2004,"physics","""for the discovery of asymptotic freedom in the theory of the strong interaction"""
"394",776,"David J.","Gross","US","","male",2004,"physics","""for the discovery of asymptotic freedom in the theory of the strong interaction"""
"395",815,"Peter","GrÙnberg","CZ","","male",2007,"physics","""for the discovery of Giant Magnetoresistance"""
"396",814,"Albert","Fert","FR","","male",2007,"physics","""for the discovery of Giant Magnetoresistance"""
